subject,age,gender,berry,sample,9pt_overall,us_overall,lms_overall
1032392,51-65,female,raspberry,2,7,NA,74
1032392,51-65,female,raspberry,3,4,NA,1
1032392,51-65,female,raspberry,4,7,NA,36
1032392,51-65,female,raspberry,1,7,NA,37
1032455,36-50,female,raspberry,6,5,2,-26
1032455,36-50,female,raspberry,5,9,7,-33
1032455,36-50,female,raspberry,2,3,1,-35
1032455,36-50,female,raspberry,3,3,5,-3
1032455,36-50,female,raspberry,4,5,12,-47
1032455,36-50,female,raspberry,1,5,5,-76
1032466,51-65,female,raspberry,6,7,NA,13
1032466,51-65,female,raspberry,5,8,NA,56
1032466,51-65,female,raspberry,2,6,NA,12
1032466,51-65,female,raspberry,3,5,NA,-8
1032466,51-65,female,raspberry,4,6,NA,-10
1032466,51-65,female,raspberry,1,3,NA,56
1032475,36-50,female,raspberry,6,6,10,76
1032475,36-50,female,raspberry,5,5,13,41
1032475,36-50,female,raspberry,2,7,8,38
1032475,36-50,female,raspberry,3,6,12,44
1032475,36-50,female,raspberry,4,8,13,36
1032475,36-50,female,raspberry,1,7,12,11
1032513,21-35,female,raspberry,6,7,NA,-9
1032513,21-35,female,raspberry,5,4,NA,34
1032513,21-35,female,raspberry,2,6,NA,1
1032513,21-35,female,raspberry,3,9,NA,21
1032513,21-35,female,raspberry,4,4,NA,36
1032513,21-35,female,raspberry,1,3,NA,1
1032533,36-50,female,raspberry,6,3,NA,11
1032533,36-50,female,raspberry,5,2,NA,47
1032533,36-50,female,raspberry,2,9,NA,98
1032533,36-50,female,raspberry,3,1,NA,73
1032533,36-50,female,raspberry,4,8,NA,99
1032533,36-50,female,raspberry,1,4,NA,75
1032537,51-65,female,raspberry,6,2,7,13
1032537,51-65,female,raspberry,5,5,11,12
1032537,51-65,female,raspberry,2,2,2,11
1032537,51-65,female,raspberry,3,5,4,13
1032537,51-65,female,raspberry,4,4,10,13
1032537,51-65,female,raspberry,1,2,11,38
1032581,21-35,male,raspberry,6,9,13,100
1032581,21-35,male,raspberry,5,9,11,85
1032581,21-35,male,raspberry,2,5,7,89
1032581,21-35,male,raspberry,3,6,7,76
1032581,21-35,male,raspberry,4,3,11,38
1032581,21-35,male,raspberry,1,7,11,72
1032605,36-50,female,raspberry,6,7,NA,NA
1032605,36-50,female,raspberry,5,6,NA,NA
1032605,36-50,female,raspberry,2,8,NA,NA
1032605,36-50,female,raspberry,3,4,NA,NA
1032605,36-50,female,raspberry,4,7,NA,NA
1032605,36-50,female,raspberry,1,4,NA,NA
1032616,36-50,female,raspberry,6,6,8,49
1032616,36-50,female,raspberry,5,7,8,57
1032616,36-50,female,raspberry,2,8,7,58
1032616,36-50,female,raspberry,3,8,10,55
1032616,36-50,female,raspberry,4,8,15,68
1032616,36-50,female,raspberry,1,7,6,53
1032625,36-50,female,raspberry,6,6,5,NA
1032625,36-50,female,raspberry,5,2,7,NA
1032625,36-50,female,raspberry,2,8,11,NA
1032625,36-50,female,raspberry,3,3,11,NA
1032625,36-50,female,raspberry,4,3,2,NA
1032625,36-50,female,raspberry,1,3,11,NA
1032644,36-50,female,raspberry,6,5,13,99
1032644,36-50,female,raspberry,5,9,9,-99
1032644,36-50,female,raspberry,2,5,0,-7
1032644,36-50,female,raspberry,3,9,15,74
1032644,36-50,female,raspberry,4,5,0,-98
1032644,36-50,female,raspberry,1,1,6,-88
