subject,age,gender,berry,sample,percent_shopping,lms_appearance,lms_overall,lms_taste,lms_texture,lms_aroma,cata_taste_floral,cata_taste_berry,cata_taste_grassy,cata_taste_fermented,cata_taste_fruity,cata_taste_citrus,cata_taste_earthy,cata_taste_none,cata_taste_peachy,cata_taste_caramel,cata_taste_grapey,cata_taste_melon,cata_taste_cherry
1033920,36-50,female,strawberry,2,75-100%,20,-32,-32,13,72,0,0,0,1,0,0,0,0,0,0,0,0,0
1033920,36-50,female,strawberry,6,75-100%,56,13,1,14,36,0,0,1,0,1,0,0,0,0,0,0,0,0
1033920,36-50,female,strawberry,3,75-100%,66,-11,-8,54,58,1,0,0,0,1,0,0,0,0,0,0,0,0
1033920,36-50,female,strawberry,5,75-100%,-31,55,36,72,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1033955,36-50,female,strawberry,4,50-74%,-10,-32,-10,-10,-31,0,0,1,0,0,1,1,0,0,0,0,0,0
1033955,36-50,female,strawberry,1,50-74%,14,34,34,-10,35,0,1,0,0,1,0,0,0,1,0,0,0,1
1033955,36-50,female,strawberry,2,50-74%,-56,-9,1,-10,13,0,0,1,0,0,0,1,0,0,0,1,0,1
1033955,36-50,female,strawberry,6,50-74%,-56,13,35,11,10,0,0,0,0,1,1,0,0,1,0,1,1,0
1033955,36-50,female,strawberry,3,50-74%,-1,-9,-31,37,11,0,0,1,0,0,0,1,0,0,0,0,1,0
1033955,36-50,female,strawberry,5,50-74%,-31,-9,3,37,-30,0,0,0,0,0,1,0,0,0,0,1,0,0
1034014,51-65,female,strawberry,4,75-100%,-1,58,57,74,37,1,0,1,0,0,0,1,0,0,0,0,0,0
1034014,51-65,female,strawberry,1,75-100%,14,78,75,72,73,1,0,0,0,0,0,0,0,1,1,0,0,0
1034014,51-65,female,strawberry,2,75-100%,77,13,11,76,16,0,0,1,0,1,1,1,0,0,0,0,0,0
1034014,51-65,female,strawberry,6,75-100%,11,56,39,56,2,1,0,0,0,1,0,0,0,0,0,1,0,0
1034014,51-65,female,strawberry,3,75-100%,74,74,38,74,1,0,0,0,1,1,0,0,0,0,0,1,1,0
1034014,51-65,female,strawberry,5,75-100%,73,97,74,75,14,0,1,0,0,0,0,0,0,0,0,0,1,1
1034016,51-65,female,strawberry,4,50-74%,56,36,39,55,12,0,0,0,0,0,1,1,0,0,1,1,0,0
1034016,51-65,female,strawberry,1,50-74%,-30,11,-9,12,55,0,1,1,0,0,1,1,0,0,0,1,1,0
1034016,51-65,female,strawberry,2,50-74%,-9,34,13,74,-1,0,1,0,0,1,1,0,0,0,0,1,0,1
1034016,51-65,female,strawberry,6,50-74%,-56,-57,-99,-12,-1,0,1,0,0,0,1,1,0,0,0,0,1,0
1034016,51-65,female,strawberry,3,50-74%,75,75,76,74,56,0,1,0,0,1,0,0,0,0,1,0,0,1
1034016,51-65,female,strawberry,5,50-74%,74,55,38,35,1,0,0,0,0,0,1,0,0,0,0,1,1,1
1032859,21-35,female,strawberry,4,50-74%,-1,26,23,8,-1,0,0,0,0,0,0,0,0,0,0,0,0,1
1032859,21-35,female,strawberry,1,50-74%,-2,55,56,24,54,0,1,0,0,1,0,0,0,0,0,1,0,0
1032859,21-35,female,strawberry,2,50-74%,-32,55,55,-12,56,0,1,0,0,1,0,0,0,0,0,0,0,0
1032859,21-35,female,strawberry,6,50-74%,-6,-2,0,50,-5,1,0,0,0,0,1,0,0,0,0,0,1,0
1032859,21-35,female,strawberry,3,50-74%,55,-24,-27,36,-1,0,0,1,0,0,0,1,0,0,0,0,0,0
